IATA_1,IATA_2,Distance
GKA,CMU,47041
HGU,CMU,77904
HGU,MDU,79256
HGU,WBM,48887
LAE,BUL,72460
POM,EFG,58082
POM,KGW,60078
POM,NDN,60952
POM,BNM,61680
UAK,LLU,77873
UAK,JJU,59315
UAK,JNS,43596
UAK,QFG,65746
AEY,HZK,43922
AEY,SIJ,65177
AEY,GRY,98638
AEY,MVA,52979
AEY,SAK,69190
EGS,VPN,52911
EGS,NOR,34913
HZK,AEY,43922
HZK,SIJ,70328
HZK,GRY,71188
HZK,THO,98871
HZK,MVA,40329
IFJ,PFJ,67521
IFJ,BIU,50030
IFJ,GJR,82090
KEF,RKV,36184
PFJ,IFJ,67521
PFJ,BIU,21483
PFJ,GUU,71663
RKV,KEF,36184
SIJ,AEY,65177
SIJ,HZK,70328
SIJ,GRY,61015
SIJ,SAK,53719
YAM,CIU,26225
YAM,DRE,79227
YAY,YBX,76733
YAZ,YQQ,95278
YBC,YFE,78178
YBC,YYY,58321
YBC,YXK,75938
YBC,YME,62856
YBG,YRJ,96098
YBG,YTF,51654
YBG,YML,99877
YBL,YQQ,38394
YBL,YGB,61160
YBL,YPW,56795
YCD,YVR,52304
YCD,YYJ,55862
YCD,YWH,78517
YCD,YGB,85266
YCD,CXH,61322
YCD,YPW,98002
YCD,LPS,93357
YCD,FRD,85840
YCD,ESD,80172
YCD,ZNA,15433
YCD,YGG,35232
YCD,YDT,62606
YCD,YLY,90478
YCD,YBW,57657
YCD,YSE,95771
YCG,YZZ,26858
YCG,ZGF,66036
YCH,ZBF,72599
YCL,ZBF,59755
YCL,YVB,65379
YCW,YVR,90722
YCW,YXX,33881
YCW,BLI,59345
YCW,CXH,86653
YCW,ESD,86558
YCW,YDT,78672
YCW,YLY,50740
YCW,YHE,40024
YCW,MVW,83729
YDQ,YXJ,65184
YDQ,YCQ,90756
YEG,YXD,29515
YET,YZU,77051
YET,YJP,90148
YEV,LAK,63427
YFC,YSJ,79537
YFE,YBC,78178
YFE,YYY,67121
YFE,YXK,53311
YFO,YQD,87526
YGK,YTR,75288
YGK,ART,52809
YGK,YSH,95605
YGL,YKU,82372
YGQ,YQN,48272
YHD,YXL,67780
YHD,ZUC,86484
YHM,YKF,48094
YHM,YKZ,89197
YHM,YTZ,66724
YHM,YYZ,61224
YHM,YZD,73819
YHM,IAG,80656
YHM,DKK,93082
YHM,YCM,61991
YHM,DU9,43448
YHU,YJN,27009
YHU,YMX,51679
YHU,YUL,25808
YHU,PBG,96553
YHU,ZBM,58517
YIB,ZUC,73231
YJN,YHU,27009
YJN,YMX,73031
YJN,YUL,40947
YJN,BTV,92113
YJN,PBG,73132
YJN,MVL,99596
